     Largura       Altura     Profund.        Valor       Numero      Rotacao
          13            3            4           35            1            1
           7            4            2           29            2            1
           7            4            2           29            3            1
          13            5            2           56            4            1
           5            8            2           48            5            1
          13           14            2          159            6            1
           5           15            4          115            7            1
           3           13            4           35            1            2
           4            7            2           29            2            2
           4            7            2           29            3            2
           5           13            2           56            4            2
           8            5            2           48            5            2
          14           13            2          159            6            2
          15            5            4          115            7            2
