     Largura       Altura     Profund.        Valor       Numero      Rotacao
         840            4          400          222            1            1
         199          966          417          958            2            1
         871          925          546          323            3            1
         483          631          432          375            4            1
         305          830          276          547            5            1
         515          504          464          338            6            1
         437          885          804          272            7            1
         513          529          705          841            8            1
          91          550          444           21            9            1
         320           48          704          906           10            1
          85          499          646          345           11            1
         816          483           23           58           12            1
         382           15           50          827           13            1
         123           70          837          983           14            1
         732          187          210          420           15            1
         725          939          743          987           16            1
         198          831          664          997           17            1
         148          381          153          604           18            1
         781          499          737          123           19            1
         110          373          851          504           20            1
         762          140          118          335           21            1
         800          442          372          465           22            1
         238           73          240          910           23            1
         958          939          936          569           24            1
         308          991          842          344           25            1
         732          276          617           96           26            1
         172          621          604          621           27            1
          74          578           21          904           28            1
         700          480           71          243           29            1
         846          723          293          888           30            1
         265           93           29          521           31            1
         178          910           10           20           32            1
         523          792          866          394           33            1
         843          960          288          321           34            1
         545          308          637          185           35            1
         342          154          770          408           36            1
         919          578          449          599           37            1
         285           37          469          254           38            1
          95          637          852          857           39            1
         971          170          309          686           40            1
         954          308          952          500           41            1
          65          591           49          468           42            1
         694          928           11           76           43            1
         822          138          853          633           44            1
         389          756          608          652           45            1
         720          708          136          732           46            1
         708          244          882          530           47            1
         843          230          855          999           48            1
         774          191          678          180           49            1
         517          919           14          383           50            1
         403          515          564          743           51            1
         495          113           16          812           52            1
         878          636          428          251           53            1
         440          570          642          690           54            1
         558          351          698          808           55            1
         573          445          699          850           56            1
         414          179          610          475           57            1
         410          597          789          198           58            1
         551          983          858          940           59            1
         694          465          847          893           60            1
         213          274          558          502           61            1
         667          621          578          203           62            1
         544          747          771          648           63            1
           2          245          825          866           64            1
         567          176          347          479           65            1
         549          571          903          910           66            1
         732          740          415          121           67            1
         674          270          190          507           68            1
         273          870          740           63           69            1
         312          533           52          302           70            1
         446          312          658          417           71            1
         573          504          932          376           72            1
          18          535          292          903           73            1
         945          205          434          431           74            1
         453          914          393          114           75            1
         633          796          250          836           76            1
         812          373          135          698           77            1
          63          140          664          266           78            1
         172          387          997          200           79            1
         772          448          200          117           80            1
         805          253          156          260           81            1
         431          576          401          619           82            1
         744          335           79          389           83            1
         292          100          345          266           84            1
          27          996          592          173           85            1
         492          996          533          733           86            1
         896            3          170          685           87            1
         644           12          366          530           88            1
         227          613          158          534           89            1
         881          804          478          757           90            1
         773          827          594          135           91            1
         455          336          613          831           92            1
         702          987          197          649           93            1
         238            1          547          662           94            1
         634          105          316          456           95            1
         294          170          526          944           96            1
         498          838          447          619           97            1
         964          842          557          696           98            1
         844          407          146          986           99            1
         988          431          239           24          100            1
         665           24          581          952          101            1
          86          896          148          217          102            1
         257          178          291          423          103            1
         143          908          116          756          104            1
         703          223          138          198          105            1
         135          845          389          754          106            1
         115          587          963          281          107            1
         194          378          187          218          108            1
         899          431           29          989          109            1
         319          678           56           77          110            1
         543           23          888          877          111            1
          97          579          225          260          112            1
         548          106           76          637          113            1
         651          199          395          196          114            1
         958          648          698           83          115            1
         279          970          629          208          116            1
         333          664          860          476          117            1
         721           41          287          171          118            1
         872          637          773          397          119            1
         460          212          662           22          120            1
         311          639          608          512          121            1
         641          802          310          353          122            1
         870          820          442           57          123            1
         141          876          780          514          124            1
         430           66          774          304          125            1
         601          356          667          688          126            1
         301          915          272          633          127            1
          28          843          833          932          128            1
         394          458          169          299          129            1
         865          867          124          331          130            1
         914          688          538          800          131            1
         929          813          956          349          132            1
         729          861          774          402          133            1
          33          982          757          278          134            1
         607          584          576          772          135            1
         306          174          353          513          136            1
         837          500          947          504          137            1
         660          151          516          249          138            1
         464          250          956          232          139            1
         597          270          613          916          140            1
         431          398          206          901          141            1
         196          254          443           81          142            1
         532          472          919           92          143            1
          21          207           45          105          144            1
         995           37          795          223          145            1
         771          435          266          693          146            1
         694          457          588          298          147            1
         335          736          194          802          148            1
         883           76          624          703          149            1
           8          855          494          679          150            1
         158          787          483          933          151            1
         829          850          811          409          152            1
         725          789          489          779          153            1
         445          631          904          473          154            1
         663           58          217          565          155            1
         228          877          780          182          156            1
         683          642          809          994          157            1
         724          596          808           72          158            1
         950          784          727          615          159            1
         607          847          870          207          160            1
         300          489          450           84          161            1
         885          841          527          189          162            1
         726         1000          667          689          163            1
         473          693          436           24          164            1
         802          274          196          763          165            1
         833          610          657           99          166            1
         803          835           45          498          167            1
         374          674          292          306          168            1
         574          747          489           67          169            1
         415          850           78          189          170            1
         946          254          487           67          171            1
         146          332           51          843          172            1
         949          450          611          181          173            1
          11          366          941          829          174            1
         997          184          389           85          175            1
         730          778          877          197          176            1
         377          172          733          182          177            1
