     Largura       Altura     Profund.        Valor       Numero      Rotacao
         796          805          529          194            1            1
         885          604          117           63            2            1
         744          171          367          849            3            1
         388          608          466           53            4            1
         216          693          164          245            5            1
         216           73          229          182            6            1
         547          797          288          217            7            1
         617          469          230          108            8            1
         707          392          239          443            9            1
         882          692          332          349           10            1
          67          988          307          471           11            1
         699          125          950          580           12            1
         919          346          783          199           13            1
         530          220          506          324           14            1
         205          547          343          182           15            1
         357          277          450           36           16            1
         957          789          204           26           17            1
         761          564          604          787           18            1
         475          759          522          512           19            1
         458          295           85           13           20            1
         355          979          885          771           21            1
         909          445          394          302           22            1
         467          374          769           35           23            1
         413         1000          750          649           24            1
         868          953          830          219           25            1
         811          491          378          481           26            1
         475          894          623          355           27            1
         368          641           94          774           28            1
         930          802          674          831           29            1
         904          255          438          853           30            1
         628          589          591          561           31            1
          84          580          758          801           32            1
         164          185          190          702           33            1
         940           68          890           24           34            1
         889          252          731          954           35            1
         833          112          205          403           36            1
         499          928          174          884           37            1
         241          634          888          490           38            1
         921          442          934          287           39            1
         680          846          980          895           40            1
          97          725            9          852           41            1
         862          819          642          304           42            1
         636          391          799           13           43            1
          39          716          647          478           44            1
         892          361           76          979           45            1
         501          360          548           46           46            1
         514          782          968          395           47            1
         708          708          257          556           48            1
         983          658          237          517           49            1
         950          727          462           33           50            1
          92          321          827          323           51            1
         194          472          187          240           52            1
          24          523          150          188           53            1
         372          140          694          298           54            1
         231          352          691          521           55            1
         119          741          435          402           56            1
          47          192          496          296           57            1
         664          891          266          282           58            1
         479          573          458          230           59            1
         354          426          976          836           60            1
          87          616          677          930           61            1
         707          670          691          868           62            1
         847          179          112          540           63            1
         711          452          987          491           64            1
         437          459          133          153           65            1
         580           91          163          849           66            1
         813          952          649          676           67            1
         379           82          991          419           68            1
          19          310          940          793           69            1
         486          279          113          578           70            1
         936          806          346          428           71            1
         203          650          416          766           72            1
         613          342          116          529           73            1
         902          972          756          417           74            1
         310          217          408          492           75            1
         752          352          755           36           76            1
         818          426          719          170           77            1
         440          757          478          689           78            1
          27          604          799          590           79            1
         863          649          929          837           80            1
         538          929          214          255           81            1
         766           16          757          730           82            1
         501          281          681          120           83            1
         756          278           96          974           84            1
         608          930          913          504           85            1
         501           78          376          479           86            1
         331           50          826          579           87            1
         643           76           73          167           88            1
         758          839          503          463           89            1
         502          846          310          967           90            1
         167          348          921            5           91            1
         795          756          400          880           92            1
         427          252          285          629           93            1
          82          950          765           36           94            1
         101          592          192          649           95            1
