     Largura       Altura     Profund.        Valor       Numero      Rotacao
          13            3            2           34            1            1
          13            3            2           34            2            1
           7            3            4           24            3            1
           7            3            2           20            4            1
           5            3            4           23            5            1
           7            3            4           26            6            1
           7            4            2           29            7            1
          13            4            2           42            8            1
          13            4            2           45            9            1
           7            4            4           34           10            1
          13            4            4           47           11            1
          13            4            2           45           12            1
           5            4            2           24           13            1
           7            4            4           32           14            1
           5            5            2           28           15            1
           5            5            4           34           16            1
          13            5            2           59           17            1
           5            5            4           36           18            1
           7            5            4           45           19            1
          13            5            4           63           20            1
          13            6            2           68           21            1
           5            6            2           37           22            1
           5            6            4           44           23            1
           7            6            4           49           24            1
           5            6            4           46           25            1
           7            6            2           41           26            1
           7            6            2           46           27            1
           5            6            4           44           28            1
           5            6            2           36           29            1
           7            6            4           52           30            1
          13            7            2           74           31            1
           5            7            4           53           32            1
           7            7            2           48           33            1
          13            7            4           89           34            1
          13            7            2           74           35            1
           7            7            2           48           36            1
           5            7            4           53           37            1
           7            7            2           48           38            1
           7            7            4           60           39            1
           7            7            4           60           40            1
           5            7            2           42           41            1
          13            7            2           79           42            1
           7            7            2           53           43            1
          13            7            2           74           44            1
          13            7            2           83           45            1
           5            7            4           48           46            1
           7            8            2           55           47            1
          13            8            2           95           48            1
           5            8            2           48           49            1
           7            8            2           55           50            1
           7            9            4           81           51            1
           5            9            2           51           52            1
           7            9            4           78           53            1
           7            9            4           81           54            1
          13            9            2          106           55            1
           5            9            4           66           56            1
           7            9            2           69           57            1
          13           10            4          119           58            1
           5           10            4           76           59            1
           7           10            2           69           60            1
           5           10            2           60           61            1
           7           10            2           73           62            1
           5           11            2           66           63            1
           7           11            4           90           64            1
           7           11            4           90           65            1
           7           11            4           99           66            1
          13           11            4          131           67            1
           5           11            4           84           68            1
           7           11            2           76           69            1
           5           11            4           84           70            1
           7           12            2           88           71            1
           5           12            2           75           72            1
           5           12            4           88           73            1
           5           13            4           99           74            1
           5           13            4           95           75            1
           5           13            4           99           76            1
          13           13            2          148           77            1
           5           13            2           81           78            1
          13           13            2          154           79            1
          13           14            4          178           80            1
           5           14            4          103           81            1
          13           14            4          167           82            1
           5           14            4          103           83            1
          13           15            2          178           84            1
           7           15            2          110           85            1
          13           15            4          199           86            1
           5           15            4          110           87            1
           7           15            2          103           88            1
           5           15            4          110           89            1
           5           15            4          103           90            1
           3           13            2           34            1            2
           3           13            2           34            2            2
           3            7            4           24            3            2
           3            7            2           20            4            2
           3            5            4           23            5            2
           3            7            4           26            6            2
           4            7            2           29            7            2
           4           13            2           42            8            2
           4           13            2           45            9            2
           4            7            4           34           10            2
           4           13            4           47           11            2
           4           13            2           45           12            2
           4            5            2           24           13            2
           4            7            4           32           14            2
           5            5            2           28           15            2
           5            5            4           34           16            2
           5           13            2           59           17            2
           5            5            4           36           18            2
           5            7            4           45           19            2
           5           13            4           63           20            2
           6           13            2           68           21            2
           6            5            2           37           22            2
           6            5            4           44           23            2
           6            7            4           49           24            2
           6            5            4           46           25            2
           6            7            2           41           26            2
           6            7            2           46           27            2
           6            5            4           44           28            2
           6            5            2           36           29            2
           6            7            4           52           30            2
           7           13            2           74           31            2
           7            5            4           53           32            2
           7            7            2           48           33            2
           7           13            4           89           34            2
           7           13            2           74           35            2
           7            7            2           48           36            2
           7            5            4           53           37            2
           7            7            2           48           38            2
           7            7            4           60           39            2
           7            7            4           60           40            2
           7            5            2           42           41            2
           7           13            2           79           42            2
           7            7            2           53           43            2
           7           13            2           74           44            2
           7           13            2           83           45            2
           7            5            4           48           46            2
           8            7            2           55           47            2
           8           13            2           95           48            2
           8            5            2           48           49            2
           8            7            2           55           50            2
           9            7            4           81           51            2
           9            5            2           51           52            2
           9            7            4           78           53            2
           9            7            4           81           54            2
           9           13            2          106           55            2
           9            5            4           66           56            2
           9            7            2           69           57            2
          10           13            4          119           58            2
          10            5            4           76           59            2
          10            7            2           69           60            2
          10            5            2           60           61            2
          10            7            2           73           62            2
          11            5            2           66           63            2
          11            7            4           90           64            2
          11            7            4           90           65            2
          11            7            4           99           66            2
          11           13            4          131           67            2
          11            5            4           84           68            2
          11            7            2           76           69            2
          11            5            4           84           70            2
          12            7            2           88           71            2
          12            5            2           75           72            2
          12            5            4           88           73            2
          13            5            4           99           74            2
          13            5            4           95           75            2
          13            5            4           99           76            2
          13           13            2          148           77            2
          13            5            2           81           78            2
          13           13            2          154           79            2
          14           13            4          178           80            2
          14            5            4          103           81            2
          14           13            4          167           82            2
          14            5            4          103           83            2
          15           13            2          178           84            2
          15            7            2          110           85            2
          15           13            4          199           86            2
          15            5            4          110           87            2
          15            7            2          103           88            2
          15            5            4          110           89            2
          15            5            4          103           90            2
