     Largura       Altura     Profund.        Valor       Numero      Rotacao
          13            3            4           39            1            1
          13            4            4           53            2            1
           7            4            4           34            3            1
           7            5            2           38            4            1
          13            8            2           91            5            1
           3           13            4           39            1            2
           4           13            4           53            2            2
           4            7            4           34            3            2
           5            7            2           38            4            2
           8           13            2           91            5            2
