     Largura       Altura     Profund.        Valor       Numero      Rotacao
           5            3            2           18            1            1
          13            3            4           38            2            1
          13            3            2           35            3            1
           5            3            2           18            4            1
           7            4            2           30            5            1
          13            4            2           47            6            1
           5            4            4           27            7            1
           7            4            2           29            8            1
          13            5            4           66            9            1
           5            6            2           37           10            1
          13            6            2           64           11            1
           5            7            4           53           12            1
           7            7            2           53           13            1
           7            8            2           55           14            1
          13            9            4          114           15            1
           5            9            2           51           16            1
           7            9            4           78           17            1
           5           10            4           73           18            1
          13           10            2          118           19            1
           5           10            2           62           20            1
           7           10            2           69           21            1
           7           10            4           90           22            1
           5           12            2           72           23            1
           7           12            4          104           24            1
          13           12            2          136           25            1
          13           13            2          148           26            1
           5           14            4          103           27            1
           5           14            4           97           28            1
          13           15            4          199           29            1
          13           15            4          199           30            1
           7           15            4          136           31            1
           5           15            4          115           32            1
          13           15            2          170           33            1
           7           15            2          110           34            1
          13           15            2          178           35            1
           3            5            2           18            1            2
           3           13            4           38            2            2
           3           13            2           35            3            2
           3            5            2           18            4            2
           4            7            2           30            5            2
           4           13            2           47            6            2
           4            5            4           27            7            2
           4            7            2           29            8            2
           5           13            4           66            9            2
           6            5            2           37           10            2
           6           13            2           64           11            2
           7            5            4           53           12            2
           7            7            2           53           13            2
           8            7            2           55           14            2
           9           13            4          114           15            2
           9            5            2           51           16            2
           9            7            4           78           17            2
          10            5            4           73           18            2
          10           13            2          118           19            2
          10            5            2           62           20            2
          10            7            2           69           21            2
          10            7            4           90           22            2
          12            5            2           72           23            2
          12            7            4          104           24            2
          12           13            2          136           25            2
          13           13            2          148           26            2
          14            5            4          103           27            2
          14            5            4           97           28            2
          15           13            4          199           29            2
          15           13            4          199           30            2
          15            7            4          136           31            2
          15            5            4          115           32            2
          15           13            2          170           33            2
          15            7            2          110           34            2
          15           13            2          178           35            2
