     Largura       Altura     Profund.        Valor       Numero      Rotacao
         731          132          418          568            1            1
         376          815          791           52            2            1
         540          100          275          381            3            1
         866          263          681          460            4            1
         366          732          540           53            5            1
         119          126          319          660            6            1
         786          888          126          402            7            1
         807          652          676          258            8            1
         204          198          458            5            9            1
           3          345            9          557           10            1
         221          769           92          956           11            1
         297           96          471           68           12            1
         364          744          144          378           13            1
         724          819          266          412           14            1
         160          232          448          845           15            1
         630          233          655          253           16            1
         585          707          766          740           17            1
         982          429          480          558           18            1
         577          342          828           79           19            1
         495          949          815          826           20            1
         578          442          239          171           21            1
         882          463          212          172           22            1
         979          785          486          975           23            1
         668          830          986          724           24            1
          38            2          283          396           25            1
         937          859          232          983           26            1
         920          367          121          142           27            1
         626          383          514          371           28            1
         675           62          940          744           29            1
         262          335          678          753           30            1
         661          311          633          168           31            1
         575          940          132          400           32            1
         691          828          154          574           33            1
         769          242          163           89           34            1
         843          119          167          855           35            1
         646          897          528          575           36            1
         673          208          874          463           37            1
         576           37          804          808           38            1
         758          339          762          324           39            1
         274          779          274          306           40            1
         875          809           71          964           41            1
         916          928          242          554           42            1
         831           38          928          528           43            1
          54          790          400          929           44            1
         857          763          150          327           45            1
         186          796          606          717           46            1
         606          464          554          477           47            1
         592          149          420          123           48            1
         549          842          650          938           49            1
         982          840          882          196           50            1
         199          437          343          278           51            1
         868          708          244          335           52            1
         937          907          616          988           53            1
         420          518          982          641           54            1
         407           88          266          153           55            1
          54          538          863          189           56            1
         641          618          627          575           57            1
         491          185          406          653           58            1
         905          293          280          360           59            1
          43          638          952          912           60            1
         805          521          919          675           61            1
         853           36          157          697           62            1
         916          936          980          625           63            1
         602          643          304          483           64            1
         975          701            5          185           65            1
         120          489          688          979           66            1
         627          200          787          553           67            1
         113          122           66          772           68            1
         229          473          319          426           69            1
         220          982          864          386           70            1
         346          740          844          478           71            1
         867          423          610          244           72            1
         779          956          875          960           73            1
          86           68          247          586           74            1
         214          386          965          679           75            1
         396          189          730          599           76            1
         141          562          272          161           77            1
         159          863          371          923           78            1
         308          820          291          855           79            1
         941          281          185          205           80            1
         754          334           13          327           81            1
         709          550          129          744           82            1
         145          609           82          661           83            1
         641          160          856          498           84            1
         448          271          319           43           85            1
         973          862          582         1000           86            1
         226          815          798          274           87            1
          87          273          855          820           88            1
         479          507          690          799           89            1
         704          321          649          978           90            1
         813          651          764          800           91            1
         609          134          738          983           92            1
         658          672          308          296           93            1
         721          865           98          994           94            1
         482          156          116          588           95            1
         376          673          962          174           96            1
         153          594          630          820           97            1
         330          383          751          225           98            1
         758          622          443          392           99            1
         929          885          835          884          100            1
         198          452          760          455          101            1
         238          827          917          549          102            1
           9          229          203          514          103            1
         747          707          121          402          104            1
         854           17          191          220          105            1
          71          496          445          350          106            1
          30          645          965          812          107            1
         623          605          542          153          108            1
         950          941           82          239          109            1
         274          362          189          195          110            1
         855           24          325          684          111            1
         425          372          836          120          112            1
         437          755          940          280          113            1
         910          660          331          528          114            1
         307          385          259          103          115            1
         592           77          140          153          116            1
         495          645          448          539          117            1
         819          229          293           48          118            1
         276          816          612          798          119            1
         590          931          691          172          120            1
         717           68          901          733          121            1
         438           38          756          880          122            1
         274          943          171          845          123            1
         878           78          827           26          124            1
         279            2          679          715          125            1
         293          836          609            8          126            1
         885           11          560          299          127            1
         700          287          910          630          128            1
          73          191          788          524          129            1
         770          276          188          879          130            1
         842          638          667          461          131            1
         229          802          990          633          132            1
         497          983          942          380          133            1
         698          692          947           29          134            1
         494          471           51          529          135            1
         859          308          119          745          136            1
         721          737          166          150          137            1
         901          601          235          880          138            1
          80          695          948          380          139            1
         205          669          486          540          140            1
         675          648          623          206          141            1
         639          731          873          248          142            1
          73          281          376          537          143            1
         220          676          771          581          144            1
         352          216          698          516          145            1
         506          173          760          181          146            1
         832          196          727          963          147            1
         572          281          811          684          148            1
          46          862          201          423          149            1
         121          859          959           50          150            1
         496          642          377          843          151            1
         812          728          490          231          152            1
         407          136          967           39          153            1
          17          475           37          993          154            1
         605          267          270          789          155            1
         930          239          854          168          156            1
         247          640          442          691          157            1
         610          122          494          190          158            1
         600          542          992          109          159            1
           7          454          876          129          160            1
         154          317          372          129          161            1
         383          949          305          559          162            1
         112          504          347          315          163            1
           5          470          362          996          164            1
         678          443           54          132          165            1
         593          710          828          758          166            1
         947          831          160          564          167            1
         526          320          758          662          168            1
         969          929          129           42          169            1
         475          174          673          692          170            1
          91          249          217          323          171            1
         572          307          311          711          172            1
         207          422          162           57          173            1
         391           69          662          478          174            1
         656          181          932          774          175            1
         874          887          237          642          176            1
         603          597          977          138          177            1
         450          516          948          472          178            1
         628          590          952          369          179            1
         436          771          710          324          180            1
         175          783          942          620          181            1
         342           82          728          672          182            1
         359          175          954          470          183            1
         632          159          951          994          184            1
         687          979          675          793          185            1
         516          609          886          134          186            1
         135           92          693           34          187            1
         148          917          151          636          188            1
         122          782          591          505          189            1
         722          482           96          594          190            1
         896          312          559          499          191            1
         803          486          162          731          192            1
         625          566          158          264          193            1
         455          521          394          319          194            1
         176           84          736          330          195            1
         965          146          811          202          196            1
         613          641          198          971          197            1
         798          611          231          343          198            1
         984          891           30          784          199            1
         400           17          869          284          200            1
         316          105           15          815          201            1
         476          903          252          191          202            1
         912          307          782          354          203            1
         544          446          903          785          204            1
         502          370          466          162          205            1
         912          286          775          870          206            1
         193          553           91           96          207            1
         522          360          864          616          208            1
          64           47          171          739          209            1
         610          628          966          237          210            1
         243          796          652          944          211            1
         247          143          158          412          212            1
         874          103          471           87          213            1
         533          513          986          764          214            1
          25          223          648          741          215            1
         562          545          959          186          216            1
         322          430          163          995          217            1
         844          928          677          979          218            1
         747          177          312          606          219            1
         963          844          873           46          220            1
         470          286          674          195          221            1
         177          380          930          963          222            1
         456          700          585           48          223            1
         256           43           74          813          224            1
         922          361          328          662          225            1
         525          431          786           30          226            1
         818          148          832          619          227            1
         317          746          540          263          228            1
         640          649          253          404          229            1
         293          815          395          251          230            1
         439          916          951          821          231            1
         814          689          687          617          232            1
         229           46          123          320          233            1
         341          888          269          918          234            1
         703          443          934          488          235            1
         948           16           81          401          236            1
         425          348          946          470          237            1
         304          142          492          745          238            1
         862          950          486           65          239            1
         342          128           61          814          240            1
         783          898          893          952          241            1
          78          736          328          466          242            1
         676          239          755          428          243            1
         675          421          496          303          244            1
         302          742          644          332          245            1
         344          776           32          109          246            1
         876          649          663          809          247            1
         508          379          954          516          248            1
         513          754          304           11          249            1
         390          149          432          954          250            1
         154          581          725          169          251            1
          30          621          447          390          252            1
         549          800          680          495          253            1
         268          750          388          814          254            1
         350          777          171          162          255            1
         962          600           99           39          256            1
         985          104          588          213          257            1
         651          504          433           53          258            1
         981          521          785          886          259            1
         892          712          580          996          260            1
         716          188          543          791          261            1
         621           55          279          516          262            1
         112          707          613          226          263            1
         390          272          906          775          264            1
         671          572          842          755          265            1
          86          251          970          370          266            1
           8          848          687          384          267            1
         586          355          382           29          268            1
          38          843          451          251          269            1
         356           42          602          459          270            1
         386          561          682          265          271            1
         221          473          434          659          272            1
         586          568          260          594          273            1
         427            4          103          933          274            1
         143          692          146          228          275            1
         319          857          995          304          276            1
         148          594          752          387          277            1
          76            7          641          836          278            1
         948           22           40           27          279            1
         308          377          496          979          280            1
          83          419          931          648          281            1
         462          479          845          944          282            1
