     Largura       Altura     Profund.        Valor       Numero      Rotacao
         135          634          704          742            1            1
         715          783          325          360            2            1
         267           31          523          200            3            1
         495          375           86          596            4            1
         250          875          653          385            5            1
         763          590          705          564            6            1
         155          885          755          114            7            1
         515           36          362          137            8            1
         926          629          713          728            9            1
         425          297          930          154           10            1
         634          135          704          742            1            2
         783          715          325          360            2            2
          31          267          523          200            3            2
         375          495           86          596            4            2
         875          250          653          385            5            2
         590          763          705          564            6            2
         885          155          755          114            7            2
          36          515          362          137            8            2
         629          926          713          728            9            2
         297          425          930          154           10            2
