     Largura       Altura     Profund.        Valor       Numero      Rotacao
          13            3            2           34            1            1
           7            3            2           22            2            1
          13            3            2           35            3            1
           7            3            4           24            4            1
           5            3            4           22            5            1
           5            3            4           20            6            1
           5            3            2           17            7            1
          13            3            2           34            8            1
          13            3            2           35            9            1
           5            3            2           17           10            1
           7            3            4           24           11            1
          13            3            4           38           12            1
           7            3            2           20           13            1
          13            3            2           34           14            1
           5            3            2           17           15            1
           5            3            2           18           16            1
           7            3            4           24           17            1
           5            3            4           20           18            1
          13            3            2           32           19            1
           5            3            4           23           20            1
           7            3            4           27           21            1
           7            3            2           23           22            1
           5            3            2           17           23            1
           5            3            2           17           24            1
          13            3            4           35           25            1
           7            3            4           26           26            1
           7            3            4           27           27            1
           5            4            2           24           28            1
           7            4            4           34           29            1
           7            4            4           32           30            1
           5            4            4           30           31            1
           7            4            4           34           32            1
           7            4            2           30           33            1
           5            4            4           29           34            1
           5            4            2           24           35            1
           5            4            4           30           36            1
          13            4            4           47           37            1
           7            4            4           34           38            1
          13            4            4           47           39            1
           7            4            2           27           40            1
           7            4            4           32           41            1
          13            4            4           47           42            1
           7            4            4           34           43            1
           5            4            2           22           44            1
          13            4            4           50           45            1
           5            4            4           27           46            1
          13            5            2           56           47            1
           7            5            4           45           48            1
           7            5            2           38           49            1
           7            5            2           34           50            1
           5            5            2           31           51            1
          13            5            2           53           52            1
           5            5            4           36           53            1
           7            5            4           43           54            1
           5            5            2           31           55            1
           5            5            2           30           56            1
          13            5            4           66           57            1
           5            5            2           28           58            1
           7            5            2           34           59            1
           7            5            4           43           60            1
           7            5            2           36           61            1
           7            5            2           34           62            1
          13            5            4           63           63            1
           5            5            4           38           64            1
          13            5            4           59           65            1
           5            5            2           30           66            1
           5            6            2           36           67            1
          13            6            2           71           68            1
           7            6            2           44           69            1
           5            6            2           37           70            1
          13            6            2           71           71            1
           5            6            2           34           72            1
           7            6            4           52           73            1
          13            6            2           64           74            1
          13            6            2           64           75            1
           7            6            4           52           76            1
          13            6            4           76           77            1
           5            6            2           37           78            1
          13            6            2           64           79            1
           5            6            2           34           80            1
           7            6            4           49           81            1
           7            6            2           44           82            1
           7            6            4           49           83            1
           5            6            4           41           84            1
           5            6            4           41           85            1
          13            6            4           76           86            1
           5            6            2           36           87            1
          13            6            4           79           88            1
           5            6            2           36           89            1
          13            6            4           76           90            1
           7            6            2           44           91            1
          13            6            4           76           92            1
           7            6            2           46           93            1
          13            6            4           76           94            1
           7            6            4           52           95            1
          13            6            4           79           96            1
           7            6            4           49           97            1
          13            6            4           76           98            1
          13            6            4           76           99            1
           7            6            2           46          100            1
           7            7            2           48          101            1
           5            7            4           53          102            1
           7            7            4           60          103            1
          13            7            4           89          104            1
           7            7            4           63          105            1
          13            7            4           89          106            1
           7            7            4           57          107            1
           5            7            2           44          108            1
           7            7            4           63          109            1
           5            7            2           39          110            1
          13            7            2           79          111            1
           5            7            2           42          112            1
          13            7            4           83          113            1
          13            7            4           89          114            1
           5            7            4           53          115            1
           7            7            4           57          116            1
           7            7            4           63          117            1
           5            7            4           53          118            1
          13            7            4           92          119            1
           7            7            2           53          120            1
