     Largura       Altura     Profund.        Valor       Numero      Rotacao
          13            3            4           39            1            1
           5            3            4           22            2            1
           5            3            2           17            3            1
           7            3            4           24            4            1
           5            3            2           17            5            1
          13            3            4           39            6            1
          13            4            4           53            7            1
           7            4            2           27            8            1
           7            4            2           29            9            1
           5            4            4           30           10            1
           7            4            2           29           11            1
           7            4            4           36           12            1
          13            4            4           47           13            1
          13            5            2           53           14            1
           7            5            2           36           15            1
          13            5            2           53           16            1
          13            5            4           66           17            1
           5            5            4           34           18            1
           7            5            2           36           19            1
           5            6            2           36           20            1
           5            6            4           41           21            1
          13            6            2           64           22            1
           5            6            4           46           23            1
           7            6            2           44           24            1
          13            6            4           76           25            1
          13            6            4           71           26            1
           5            6            4           44           27            1
           5            7            2           42           28            1
           7            7            2           48           29            1
           5            7            4           51           30            1
           7            7            4           60           31            1
           7            7            4           57           32            1
           5            7            2           39           33            1
           5            7            2           39           34            1
           7            7            4           63           35            1
          13            7            2           79           36            1
           5            7            4           53           37            1
           7            7            2           51           38            1
          13            7            4           89           39            1
          13            7            2           83           40            1
           7            7            4           60           41            1
           5            7            2           39           42            1
           7            7            2           53           43            1
           7            8            4           65           44            1
           7            8            2           61           45            1
           5            8            4           58           46            1
          13            8            4          101           47            1
           7            9            2           66           48            1
          13            9            2           96           49            1
          13            9            2          106           50            1
           5            9            2           51           51            1
           7            9            2           66           52            1
          13            9            4          107           53            1
           5           10            2           56           54            1
           7           10            2           76           55            1
           7           10            2           69           56            1
           5           10            2           60           57            1
           7           10            4           87           58            1
           7           11            2           81           59            1
          13           11            4          140           60            1
           5           11            4           84           61            1
           7           11            2           76           62            1
          13           11            4          146           63            1
           5           11            2           62           64            1
           7           11            4           90           65            1
           5           11            4           84           66            1
           7           12            2           88           67            1
           5           12            2           68           68            1
           7           12            2           92           69            1
           7           13            2           90           70            1
           7           13            4          113           71            1
          13           13            4          172           72            1
           5           13            4           99           73            1
           7           13            4          113           74            1
           5           14            4          107           75            1
           7           14            2           97           76            1
           5           14            4          107           77            1
           5           14            2           79           78            1
           5           15            2           90           79            1
           5           15            4          110           80            1
           5           15            4          110           81            1
          13           15            4          179           82            1
           5           15            4          103           83            1
          13           15            2          178           84            1
          13           15            2          160           85            1
           3           13            4           39            1            2
           3            5            4           22            2            2
           3            5            2           17            3            2
           3            7            4           24            4            2
           3            5            2           17            5            2
           3           13            4           39            6            2
           4           13            4           53            7            2
           4            7            2           27            8            2
           4            7            2           29            9            2
           4            5            4           30           10            2
           4            7            2           29           11            2
           4            7            4           36           12            2
           4           13            4           47           13            2
           5           13            2           53           14            2
           5            7            2           36           15            2
           5           13            2           53           16            2
           5           13            4           66           17            2
           5            5            4           34           18            2
           5            7            2           36           19            2
           6            5            2           36           20            2
           6            5            4           41           21            2
           6           13            2           64           22            2
           6            5            4           46           23            2
           6            7            2           44           24            2
           6           13            4           76           25            2
           6           13            4           71           26            2
           6            5            4           44           27            2
           7            5            2           42           28            2
           7            7            2           48           29            2
           7            5            4           51           30            2
           7            7            4           60           31            2
           7            7            4           57           32            2
           7            5            2           39           33            2
           7            5            2           39           34            2
           7            7            4           63           35            2
           7           13            2           79           36            2
           7            5            4           53           37            2
           7            7            2           51           38            2
           7           13            4           89           39            2
           7           13            2           83           40            2
           7            7            4           60           41            2
           7            5            2           39           42            2
           7            7            2           53           43            2
           8            7            4           65           44            2
           8            7            2           61           45            2
           8            5            4           58           46            2
           8           13            4          101           47            2
           9            7            2           66           48            2
           9           13            2           96           49            2
           9           13            2          106           50            2
           9            5            2           51           51            2
           9            7            2           66           52            2
           9           13            4          107           53            2
          10            5            2           56           54            2
          10            7            2           76           55            2
          10            7            2           69           56            2
          10            5            2           60           57            2
          10            7            4           87           58            2
          11            7            2           81           59            2
          11           13            4          140           60            2
          11            5            4           84           61            2
          11            7            2           76           62            2
          11           13            4          146           63            2
          11            5            2           62           64            2
          11            7            4           90           65            2
          11            5            4           84           66            2
          12            7            2           88           67            2
          12            5            2           68           68            2
          12            7            2           92           69            2
          13            7            2           90           70            2
          13            7            4          113           71            2
          13           13            4          172           72            2
          13            5            4           99           73            2
          13            7            4          113           74            2
          14            5            4          107           75            2
          14            7            2           97           76            2
          14            5            4          107           77            2
          14            5            2           79           78            2
          15            5            2           90           79            2
          15            5            4          110           80            2
          15            5            4          110           81            2
          15           13            4          179           82            2
          15            5            4          103           83            2
          15           13            2          178           84            2
          15           13            2          160           85            2
