     Largura       Altura     Profund.        Valor       Numero      Rotacao
         675           30          226          536            1            1
         534          789          513           95            2            1
         376          483          441          558            3            1
         407           59          698          638            4            1
         638          974          826          185            5            1
         207          674          304          135            6            1
         642          789           70          571            7            1
         689          892          642          825            8            1
         696          632          615          546            9            1
         197          789          176          822           10            1
          54           37          785          435           11            1
         515          818          925          428           12            1
         460          130          423          322           13            1
          15          969           31          281           14            1
         549            1          565          165           15            1
         317          329          154          675           16            1
         793          627          109          895           17            1
         466          535          413          391           18            1
         614          355          378          911           19            1
         804          333          851          640           20            1
         857           45          299          559           21            1
         567          546           32          104           22            1
         277          887          400           10           23            1
         925          808          969          529           24            1
         656           93          731          386           25            1
         411          930          659          815           26            1
         780          183          179          601           27            1
         937          134          130          494           28            1
         992          212          321          703           29            1
         657          386          436          564           30            1
         897          188          303           34           31            1
         494          275          502           98           32            1
         878          770          606          562           33            1
         675          578         1000          985           34            1
         609          341          860          652           35            1
          70          140          525           54           36            1
         126          771          521          240           37            1
         163          509            2           89           38            1
         377          246          822          214           39            1
         614          338          716           59           40            1
         331          510          294          249           41            1
         105          782          351          273           42            1
         528          648            1          321           43            1
         277           97          660          843           44            1
         161          365           21          618           45            1
         420          379          661          900           46            1
         814          928          302          239           47            1
         236          526          202          675           48            1
         853          776          576          102           49            1
         951          544          466          217           50            1
         624          892           88            1           51            1
         776          400          752           62           52            1
         607          405          499          690           53            1
         162          353          320          513           54            1
         951          369          206          929           55            1
         521          988          677          422           56            1
         133          343          146          340           57            1
         424          886           97          717           58            1
         307          923          195          414           59            1
         169          816          962          232           60            1
         886          218           31          970           61            1
         826          808          417           10           62            1
         548          266          555          868           63            1
         222           41          952          823           64            1
           7          619           51          204           65            1
         219          775          380          322           66            1
         590          937          988          322           67            1
         939          615           37           42           68            1
         973          885          743          723           69            1
         864          187          466          542           70            1
          17          341          986          780           71            1
         866           78          168          187           72            1
         716          868          715          256           73            1
         775           46          954          460           74            1
         517          131          144          580           75            1
          63          536          972          732           76            1
         444          856          781          847           77            1
         290           59           49          300           78            1
         400          154          228          190           79            1
         688          519          819           76           80            1
         184          877          781          813           81            1
         641          768          269          785           82            1
          48          253          404          605           83            1
         314          197          821           27           84            1
         287          494          890          200           85            1
         946          121          912          406           86            1
         613          538          356          604           87            1
         840          973          405          822           88            1
         753          997          947          616           89            1
         339          105           76          737           90            1
         786          106          379          886           91            1
         602          397           70          650           92            1
         597          467          600          168           93            1
         128          183          755          748           94            1
         983          519          891          433           95            1
         939          632          495            9           96            1
         402          384          807          194           97            1
         287          392          969          413           98            1
         692          736          311          265           99            1
         519          727          438          230          100            1
          30          675          226          536            1            2
         789          534          513           95            2            2
         483          376          441          558            3            2
          59          407          698          638            4            2
         974          638          826          185            5            2
         674          207          304          135            6            2
         789          642           70          571            7            2
         892          689          642          825            8            2
         632          696          615          546            9            2
         789          197          176          822           10            2
          37           54          785          435           11            2
         818          515          925          428           12            2
         130          460          423          322           13            2
         969           15           31          281           14            2
           1          549          565          165           15            2
         329          317          154          675           16            2
         627          793          109          895           17            2
         535          466          413          391           18            2
         355          614          378          911           19            2
         333          804          851          640           20            2
          45          857          299          559           21            2
         546          567           32          104           22            2
         887          277          400           10           23            2
         808          925          969          529           24            2
          93          656          731          386           25            2
         930          411          659          815           26            2
         183          780          179          601           27            2
         134          937          130          494           28            2
         212          992          321          703           29            2
         386          657          436          564           30            2
         188          897          303           34           31            2
         275          494          502           98           32            2
         770          878          606          562           33            2
         578          675         1000          985           34            2
         341          609          860          652           35            2
         140           70          525           54           36            2
         771          126          521          240           37            2
         509          163            2           89           38            2
         246          377          822          214           39            2
         338          614          716           59           40            2
         510          331          294          249           41            2
         782          105          351          273           42            2
         648          528            1          321           43            2
          97          277          660          843           44            2
         365          161           21          618           45            2
         379          420          661          900           46            2
         928          814          302          239           47            2
         526          236          202          675           48            2
         776          853          576          102           49            2
         544          951          466          217           50            2
         892          624           88            1           51            2
         400          776          752           62           52            2
         405          607          499          690           53            2
         353          162          320          513           54            2
         369          951          206          929           55            2
         988          521          677          422           56            2
         343          133          146          340           57            2
         886          424           97          717           58            2
         923          307          195          414           59            2
         816          169          962          232           60            2
         218          886           31          970           61            2
         808          826          417           10           62            2
         266          548          555          868           63            2
          41          222          952          823           64            2
         619            7           51          204           65            2
         775          219          380          322           66            2
         937          590          988          322           67            2
         615          939           37           42           68            2
         885          973          743          723           69            2
         187          864          466          542           70            2
         341           17          986          780           71            2
          78          866          168          187           72            2
         868          716          715          256           73            2
          46          775          954          460           74            2
         131          517          144          580           75            2
         536           63          972          732           76            2
         856          444          781          847           77            2
          59          290           49          300           78            2
         154          400          228          190           79            2
         519          688          819           76           80            2
         877          184          781          813           81            2
         768          641          269          785           82            2
         253           48          404          605           83            2
         197          314          821           27           84            2
         494          287          890          200           85            2
         121          946          912          406           86            2
         538          613          356          604           87            2
         973          840          405          822           88            2
         997          753          947          616           89            2
         105          339           76          737           90            2
         106          786          379          886           91            2
         397          602           70          650           92            2
         467          597          600          168           93            2
         183          128          755          748           94            2
         519          983          891          433           95            2
         632          939          495            9           96            2
         384          402          807          194           97            2
         392          287          969          413           98            2
         736          692          311          265           99            2
         727          519          438          230          100            2
