     Largura       Altura     Profund.        Valor       Numero      Rotacao
          13            3            4           39            1            1
           5            3            4           23            2            1
           7            4            2           30            3            1
           5            4            4           30            4            1
           5            4            2           24            5            1
           5            5            2           31            6            1
          13            6            4           71            7            1
          13            6            2           64            8            1
           5            7            2           44            9            1
           7            7            2           48           10            1
          13            9            2           96           11            1
           5            9            4           62           12            1
           7            9            2           69           13            1
          13           10            4          132           14            1
           5           10            2           56           15            1
          13           10            2          113           16            1
           5           10            4           76           17            1
           7           10            2           73           18            1
           7           12            2           92           19            1
          13           12            4          152           20            1
           5           13            2           78           21            1
           7           14            4          121           22            1
           5           14            4          107           23            1
          13           15            2          178           24            1
           5           15            2           94           25            1
           7           15            2          115           26            1
           7           15            4          122           27            1
           5           15            2           90           28            1
           7           15            4          136           29            1
          13           15            2          178           30            1
           3           13            4           39            1            2
           3            5            4           23            2            2
           4            7            2           30            3            2
           4            5            4           30            4            2
           4            5            2           24            5            2
           5            5            2           31            6            2
           6           13            4           71            7            2
           6           13            2           64            8            2
           7            5            2           44            9            2
           7            7            2           48           10            2
           9           13            2           96           11            2
           9            5            4           62           12            2
           9            7            2           69           13            2
          10           13            4          132           14            2
          10            5            2           56           15            2
          10           13            2          113           16            2
          10            5            4           76           17            2
          10            7            2           73           18            2
          12            7            2           92           19            2
          12           13            4          152           20            2
          13            5            2           78           21            2
          14            7            4          121           22            2
          14            5            4          107           23            2
          15           13            2          178           24            2
          15            5            2           94           25            2
          15            7            2          115           26            2
          15            7            4          122           27            2
          15            5            2           90           28            2
          15            7            4          136           29            2
          15           13            2          178           30            2
